cityid,cityname,statename
1,Baltimore,Maryland
2,Boston,Massachusetts
3,New York City,New York
4,St. Petersburg,Florida
5,Toronto,Ontario
6,Chicago,Illinois
7,Cleveland,Ohio
8,Detroit,Michigan
9,Kansas City,Missouri
10,Minneapolis,Minnesota
11,Houston,Texas
12,Anaheim,California
13,Oakland,California
14,Seattle,Washington
15,Arlington,Texas
16,Atlanta,Georgia
17,Miami,Florida
18,New York City,New York
19,Philadelphia,Pennsylvania
20,Washington,D.C.
21,Chicago,Illinois
22,Cincinnati,Ohio
23,Milwaukee,Wisconsin
24,Pittsburgh,Pennsylvania
25,St. Louis,Missouri
26,Phoenix,Arizona
27,Denver,Colorado
28,Los Angeles,California
29,San Diego,California
30,San Francisco,California
