team name,roster,league,division,team payroll,  w,  l,wpct,rank,lgrk,mlb rk,last yr payroll,top salary
New York Yankees,team roster,AL,East,"92,938,260",87,74,0.54,1,5,9,"88,130,709",Bernie Williams (4)
Los Angeles Dodgers,team roster,NL,West,"90,725,953",86,76,0.531,2,5,10,"71,135,786",Kevin Brown (1)
Baltimore Orioles,team roster,AL,East,"83,141,198",74,88,0.457,4,11,21,"70,818,363",Albert Belle (3)
Atlanta Braves,team roster,NL,East,"82,732,500",95,67,0.586,1,2,2,"75,065,000",Greg Maddux (10)
Boston Red Sox,team roster,AL,East,"81,210,333",85,77,0.525,2,6,11,"71,720,000",Pedro Martinez (8)
New York Mets,team roster,NL,East,"79,759,762",94,68,0.58,2,4,5,"71,331,425",Mike Piazza (6)
Arizona Diamondbacks,team roster,NL,West,"77,880,333",85,77,0.525,3,7,12,"70,370,999",Randy Johnson (2)
Cleveland Indians,team roster,AL,Central,"76,508,334",90,72,0.556,2,4,8,"73,853,962",Jim Thome (24)
Texas Rangers,team roster,AL,West,"70,785,000",71,91,0.438,4,12,24,"81,301,598",Rafael Palmeiro (20)
Tampa Bay Devil Rays,team roster,AL,East,"64,407,910",69,92,0.429,5,13,25,"37,812,500",Greg Vaughn (40)
Colorado Rockies,team roster,NL,West,"64,130,857",82,80,0.506,4,8,15,"54,392,504",Larry Walker (5)
St. Louis Cardinals,team roster,NL,Central,"63,993,023",95,67,0.586,1,3,4,"46,248,195",Mark McGwire (18)
Chicago Cubs,team roster,NL,Central,"62,129,333",65,97,0.401,6,16,30,"55,368,500",Sammy Sosa (11)
Detroit Tigers,team roster,AL,Central,"61,740,167",79,83,0.488,3,9,18,"34,959,666",Juan Gonzalez (31)
Seattle Mariners,team roster,AL,West,"59,215,000",91,71,0.562,2,3,7,"44,371,336",Aaron Sele (31)
Anaheim Angels,team roster,AL,West,"55,766,667",82,80,0.506,3,8,16,"49,893,166",Mo Vaughn (9)
San Diego Padres,team roster,NL,West,"54,971,000",76,86,0.469,5,10,20,"45,932,179",Trevor Hoffman (51)
San Francisco Giants,team roster,NL,West,"53,541,000",97,65,0.599,1,1,1,"46,059,557",Barry Bonds (12)
Houston Astros,team roster,NL,Central,"52,356,667",72,90,0.444,4,12,23,"55,289,000",Craig Biggio (48)
Philadelphia Phillies,team roster,NL,East,"46,947,667",65,97,0.401,5,15,29,"30,516,500",Andy Ashby (78)
Toronto Blue Jays,team roster,AL,East,"46,363,332",83,79,0.512,3,7,14,"48,165,333",Raul Mondesi (13)
Cincinnati Reds,team roster,NL,Central,"44,217,500",85,77,0.525,2,6,13,"42,142,761",Ken Griffey (19)
Milwaukee Brewers,team roster,NL,Central,"35,782,833",73,89,0.451,3,11,22,"42,927,395",Marquis Grissom (108)
Montreal Expos,team roster,NL,East,"33,527,666",67,95,0.414,4,14,28,"16,363,000",Hideki Irabu (145)
Oakland Athletics,team roster,AL,West,"32,121,833",91,70,0.565,1,2,6,"24,150,333",Kevin Appier (86)
Chicago White Sox,team roster,AL,Central,"31,159,000",95,67,0.586,1,1,3,"24,550,000",Frank Thomas (39)
Pittsburgh Pirates,team roster,NL,Central,"29,561,667",69,93,0.426,5,13,26,"24,217,666",Kevin Young (84)
Kansas City Royals,team roster,AL,Central,"23,132,500",77,85,0.475,4,10,19,"16,527,000",Johnny Damon (147)
Florida Marlins,team roster,NL,East,"19,870,000",79,82,0.491,3,9,17,"15,150,000",Alex Fernandez (41)
Minnesota Twins,team roster,AL,Central,"15,654,500",69,93,0.426,5,14,27,"16,355,000",Brad Radke (173)
